longitude,latitude,altitude,time,tau_cirrus,tau_contrail,rf_sw,rf_lw,width,depth,segment_length,n_ice_per_m,r_ice_vol,location
37.306,-0.815,40259.0,2024-11-10 16:10:00,0.0903,0.4271,0.0,11.75,130.0,116.0,0.0,4595000000000.0,1.383e-06,Nairobi_Kenya
37.387,-0.737,40833.0,2024-11-10 16:20:00,0.0764,0.4638,0.0,12.979,139.0,119.0,0.0,5719000000000.0,1.357e-06,Nairobi_Kenya
37.463,-0.644,40833.0,2024-11-10 16:30:00,0.0677,1.6896,0.0,48.123,62.0,105.0,0.0,6042000000000.0,1.637e-06,Nairobi_Kenya
37.545,-0.567,40830.0,2024-11-10 16:40:00,0.0603,1.1817,0.0,34.994,83.0,109.0,0.0,5928000000000.0,1.569e-06,Nairobi_Kenya
37.627,-0.49,40823.0,2024-11-10 16:50:00,0.0547,0.9244,0.0,27.59,97.0,113.0,0.0,5804000000000.0,1.507e-06,Nairobi_Kenya
37.708,-0.414,40817.0,2024-11-10 17:00:00,0.0459,0.6927,0.0,20.443,107.0,117.0,0.0,5638000000000.0,1.42e-06,Nairobi_Kenya
37.785,-0.319,40833.0,2024-11-10 17:10:00,0.0362,3.3865,0.0,84.136,31.0,102.0,0.0,5865000000000.0,1.683e-06,Nairobi_Kenya
37.867,-0.242,40830.0,2024-11-10 17:20:00,0.0289,1.6209,0.0,47.138,60.0,106.0,0.0,5740000000000.0,1.587e-06,Nairobi_Kenya
37.948,-0.166,40830.0,2024-11-10 17:30:00,0.0214,1.0761,0.0,31.811,79.0,111.0,0.0,5612000000000.0,1.496e-06,Nairobi_Kenya
38.029,-0.09,40827.0,2024-11-10 17:40:00,0.0163,0.7501,0.0,21.647,93.0,115.0,0.0,5499000000000.0,1.404e-06,Nairobi_Kenya
38.11,-0.014,40827.0,2024-11-10 17:50:00,0.0127,0.4821,0.0,13.253,105.0,120.0,0.0,5390000000000.0,1.295e-06,Nairobi_Kenya
38.189,0.083,40833.0,2024-11-10 18:00:00,0.0088,2.5359,0.0,66.442,38.0,103.0,0.0,5616000000000.0,1.633e-06,Nairobi_Kenya
38.27,0.16,40830.0,2024-11-10 18:10:00,0.0057,1.3864,0.0,39.493,63.0,108.0,0.0,5523000000000.0,1.531e-06,Nairobi_Kenya
38.351,0.236,40830.0,2024-11-10 18:20:00,0.0036,0.8269,0.0,23.531,85.0,113.0,0.0,5426000000000.0,1.412e-06,Nairobi_Kenya
38.432,0.312,40830.0,2024-11-10 18:30:00,0.0022,0.4293,0.0,11.639,105.0,117.0,0.0,5328000000000.0,1.259e-06,Nairobi_Kenya
38.513,0.388,40830.0,2024-11-10 18:40:00,0.0012,0.2069,0.0,4.987,122.0,121.0,0.0,5232000000000.0,1.05e-06,Nairobi_Kenya
38.592,0.485,40833.0,2024-11-10 18:50:00,0.0004,1.7656,0.0,51.606,52.0,104.0,0.0,5463000000000.0,1.581e-06,Nairobi_Kenya
38.673,0.562,40833.0,2024-11-10 19:00:00,0.0001,0.9437,0.0,28.6,79.0,109.0,0.0,5363000000000.0,1.444e-06,Nairobi_Kenya
38.754,0.638,40837.0,2024-11-10 19:10:00,0.0,0.4882,0.0,14.272,100.0,113.0,0.0,5262000000000.0,1.289e-06,Nairobi_Kenya
38.835,0.715,40837.0,2024-11-10 19:20:00,0.0,0.2073,0.0,5.237,120.0,117.0,0.0,5159000000000.0,1.05e-06,Nairobi_Kenya
18.767,-33.81,33291.0,2024-11-10 15:40:00,0.02,0.119,-8.625,6.723,1488.0,138.0,4878.0,2437000000000.0,3.713e-06,Cape_Town_South_Africa
18.951,-33.859,33271.0,2024-11-10 15:50:00,0.0202,0.1776,-9.864,11.321,1985.0,172.0,4083.0,2769000000000.0,4.807e-06,Cape_Town_South_Africa
19.134,-33.907,33258.0,2024-11-10 16:00:00,0.0208,0.2148,-9.512,14.504,2559.0,205.0,3323.0,3281000000000.0,5.578e-06,Cape_Town_South_Africa
19.317,-33.953,33245.0,2024-11-10 16:10:00,0.0193,0.2654,-8.896,18.472,3319.0,238.0,2601.0,4040000000000.0,6.217e-06,Cape_Town_South_Africa
19.501,-33.998,33222.0,2024-11-10 16:20:00,0.0166,0.2982,-8.333,21.301,4388.0,272.0,2007.0,5034000000000.0,6.715e-06,Cape_Town_South_Africa
19.687,-34.042,33192.0,2024-11-10 16:30:00,0.0175,0.2816,-8.286,20.803,5914.0,307.0,1660.0,5847000000000.0,7.139e-06,Cape_Town_South_Africa
19.874,-34.085,33176.0,2024-11-10 16:40:00,0.0182,0.2483,-9.556,19.071,7437.0,341.0,1700.0,5479000000000.0,7.631e-06,Cape_Town_South_Africa
20.061,-34.127,33159.0,2024-11-10 16:50:00,0.0188,0.1881,-11.564,15.302,8405.0,373.0,2119.0,4210000000000.0,8.272e-06,Cape_Town_South_Africa
20.249,-34.167,33133.0,2024-11-10 17:00:00,0.02,0.1526,-18.711,13.105,9123.0,402.0,2782.0,3063000000000.0,9.104e-06,Cape_Town_South_Africa
20.438,-34.206,33100.0,2024-11-10 17:10:00,0.0191,0.1325,0.0,10.336,9820.0,431.0,3601.0,2255000000000.0,1.0148e-05,Cape_Town_South_Africa
20.626,-34.244,33058.0,2024-11-10 17:20:00,0.0178,0.1218,0.0,9.889,10586.0,460.0,4488.0,1721000000000.0,1.1396e-05,Cape_Town_South_Africa
20.815,-34.28,33005.0,2024-11-10 17:30:00,0.0169,0.1079,0.0,9.041,11399.0,493.0,5416.0,1353000000000.0,1.2766e-05,Cape_Town_South_Africa
21.003,-34.315,32933.0,2024-11-10 17:40:00,0.0161,0.1016,0.0,8.728,12232.0,530.0,6380.0,1088000000000.0,1.4143e-05,Cape_Town_South_Africa
21.191,-34.349,32844.0,2024-11-10 17:50:00,0.0156,0.0918,0.0,7.997,13069.0,573.0,7384.0,891000000000.0,1.5348e-05,Cape_Town_South_Africa
21.379,-34.381,32749.0,2024-11-10 18:00:00,0.0152,0.0801,0.0,7.074,13874.0,622.0,8444.0,742000000000.0,1.6188e-05,Cape_Town_South_Africa
21.565,-34.412,32641.0,2024-11-10 18:10:00,0.0139,0.0645,0.0,5.763,14683.0,677.0,9573.0,628000000000.0,1.6256e-05,Cape_Town_South_Africa
21.751,-34.441,32530.0,2024-11-10 18:20:00,0.0127,0.0422,0.0,3.743,15500.0,732.0,10748.0,542000000000.0,1.4529e-05,Cape_Town_South_Africa
21.935,-34.469,32425.0,2024-11-10 18:30:00,0.012,0.0083,0.0,0.712,16338.0,780.0,11962.0,479000000000.0,7.15e-06,Cape_Town_South_Africa
18.736,-33.775,33878.0,2024-11-10 15:40:00,0.0098,0.3729,-24.586,15.396,544.0,129.0,5648.0,5314000000000.0,2.456e-06,Cape_Town_South_Africa
18.922,-33.832,33862.0,2024-11-10 15:50:00,0.0108,0.4913,-23.695,23.448,664.0,166.0,5593.0,5045000000000.0,3.252e-06,Cape_Town_South_Africa
19.107,-33.887,33855.0,2024-11-10 16:00:00,0.0114,0.338,-13.663,18.434,1216.0,199.0,5461.0,4971000000000.0,3.9e-06,Cape_Town_South_Africa
19.294,-33.94,33848.0,2024-11-10 16:10:00,0.0106,0.2816,-9.139,17.049,1962.0,228.0,5310.0,4924000000000.0,4.566e-06,Cape_Town_South_Africa
19.481,-33.992,33832.0,2024-11-10 16:20:00,0.0089,0.2702,-8.044,17.804,2866.0,255.0,5177.0,4857000000000.0,5.206e-06,Cape_Town_South_Africa
19.669,-34.044,33809.0,2024-11-10 16:30:00,0.0091,0.2388,-7.613,16.891,3959.0,281.0,5076.0,4757000000000.0,5.846e-06,Cape_Town_South_Africa
19.859,-34.095,33793.0,2024-11-10 16:40:00,0.0094,0.2064,-8.846,15.561,5295.0,307.0,4968.0,4659000000000.0,6.539e-06,Cape_Town_South_Africa
20.051,-34.144,33783.0,2024-11-10 16:50:00,0.0096,0.1918,-12.169,15.339,6899.0,333.0,4860.0,4556000000000.0,7.306e-06,Cape_Town_South_Africa
20.243,-34.192,33763.0,2024-11-10 17:00:00,0.0101,0.1835,-21.155,15.516,8821.0,360.0,4758.0,4439000000000.0,8.165e-06,Cape_Town_South_Africa
20.437,-34.238,33734.0,2024-11-10 17:10:00,0.0096,0.1752,0.0,15.505,11090.0,388.0,4678.0,4290000000000.0,9.088e-06,Cape_Town_South_Africa
20.632,-34.284,33698.0,2024-11-10 17:20:00,0.0092,0.1685,0.0,13.407,13605.0,418.0,4631.0,4105000000000.0,1.0057e-05,Cape_Town_South_Africa
20.827,-34.328,33652.0,2024-11-10 17:30:00,0.0091,0.1636,0.0,13.393,16287.0,450.0,4637.0,3872000000000.0,1.1059e-05,Cape_Town_South_Africa
21.023,-34.37,33589.0,2024-11-10 17:40:00,0.0091,0.1578,0.0,13.232,19037.0,485.0,4712.0,3593000000000.0,1.2069e-05,Cape_Town_South_Africa
21.219,-34.411,33517.0,2024-11-10 17:50:00,0.0092,0.1486,0.0,12.667,21664.0,524.0,4886.0,3266000000000.0,1.3063e-05,Cape_Town_South_Africa
21.416,-34.45,33435.0,2024-11-10 18:00:00,0.0093,0.137,0.0,11.918,23999.0,566.0,5188.0,2901000000000.0,1.4028e-05,Cape_Town_South_Africa
21.613,-34.488,33343.0,2024-11-10 18:10:00,0.009,0.1229,0.0,10.912,25862.0,612.0,5664.0,2513000000000.0,1.4882e-05,Cape_Town_South_Africa
21.811,-34.524,33238.0,2024-11-10 18:20:00,0.0093,0.1076,0.0,9.754,27157.0,662.0,0.0,2132000000000.0,1.5488e-05,Cape_Town_South_Africa
22.008,-34.558,33120.0,2024-11-10 18:30:00,0.0095,0.105,0.0,9.718,27267.0,715.0,0.0,2038000000000.0,1.5685e-05,Cape_Town_South_Africa
22.205,-34.59,33002.0,2024-11-10 18:40:00,0.0086,0.0902,0.0,8.336,27394.0,775.0,0.0,1964000000000.0,1.4843e-05,Cape_Town_South_Africa
22.4,-34.621,32881.0,2024-11-10 18:50:00,0.0077,0.0576,0.0,5.135,27539.0,834.0,0.0,1916000000000.0,1.2037e-05,Cape_Town_South_Africa
18.702,-33.732,34465.0,2024-11-10 15:40:00,0.003,0.6974,-41.197,21.325,107.0,110.0,5711.0,4209000000000.0,1.709e-06,Cape_Town_South_Africa
18.885,-33.792,34449.0,2024-11-10 15:50:00,0.004,0.1018,-6.688,3.335,607.0,143.0,0.0,3472000000000.0,1.752e-06,Cape_Town_South_Africa
19.068,-33.85,34446.0,2024-11-10 16:00:00,0.0047,0.084,-4.503,2.735,721.0,170.0,0.0,3403000000000.0,1.772e-06,Cape_Town_South_Africa
19.252,-33.907,34449.0,2024-11-10 16:10:00,0.0045,0.0709,-2.991,2.417,856.0,193.0,0.0,3369000000000.0,1.882e-06,Cape_Town_South_Africa
19.437,-33.963,34436.0,2024-11-10 16:20:00,0.0037,0.0601,-2.338,2.057,1001.0,214.0,0.0,3344000000000.0,1.879e-06,Cape_Town_South_Africa
19.624,-34.019,34423.0,2024-11-10 16:30:00,0.0033,0.0513,-2.059,1.707,1153.0,234.0,0.0,3324000000000.0,1.799e-06,Cape_Town_South_Africa
19.812,-34.073,34419.0,2024-11-10 16:40:00,0.0034,0.0448,-2.549,1.503,1314.0,252.0,0.0,3308000000000.0,1.805e-06,Cape_Town_South_Africa
20.002,-34.127,34426.0,2024-11-10 16:50:00,0.0033,0.0432,-4.017,1.585,1485.0,270.0,0.0,3294000000000.0,1.991e-06,Cape_Town_South_Africa
20.193,-34.181,34426.0,2024-11-10 17:00:00,0.0033,0.0687,-13.154,2.912,1667.0,286.0,0.0,3281000000000.0,2.356e-06,Cape_Town_South_Africa
20.387,-34.233,34423.0,2024-11-10 17:10:00,0.0029,0.0704,0.0,3.321,1859.0,303.0,0.0,3267000000000.0,2.669e-06,Cape_Town_South_Africa
20.581,-34.284,34416.0,2024-11-10 17:20:00,0.0027,0.0663,0.0,3.307,2052.0,320.0,0.0,3253000000000.0,2.855e-06,Cape_Town_South_Africa
20.777,-34.335,34406.0,2024-11-10 17:30:00,0.0028,0.0637,0.0,3.243,2250.0,336.0,0.0,3239000000000.0,2.926e-06,Cape_Town_South_Africa
20.974,-34.384,34390.0,2024-11-10 17:40:00,0.0028,0.0545,0.0,2.722,2455.0,353.0,0.0,3226000000000.0,2.841e-06,Cape_Town_South_Africa
21.173,-34.433,34364.0,2024-11-10 17:50:00,0.0027,0.0482,0.0,2.277,2670.0,368.0,0.0,3214000000000.0,2.641e-06,Cape_Town_South_Africa
21.374,-34.481,34341.0,2024-11-10 18:00:00,0.0026,0.0406,0.0,1.79,2898.0,383.0,0.0,3205000000000.0,2.406e-06,Cape_Town_South_Africa
21.576,-34.528,34314.0,2024-11-10 18:10:00,0.0021,0.0175,0.0,0.559,3140.0,397.0,0.0,3197000000000.0,1.613e-06,Cape_Town_South_Africa
18.67,-33.689,35052.0,2024-11-10 15:40:00,0.0004,0.3889,-28.553,9.589,91.0,97.0,0.0,4534000000000.0,1.237e-06,Cape_Town_South_Africa
4.346,7.492,40840.0,2024-11-10 17:10:00,0.0008,0.6617,-22.759,12.224,57.0,98.0,0.0,2967000000000.0,1.403e-06,Lagos_Nigeria
4.748,7.894,40840.0,2024-11-10 18:00:00,0.0,0.0398,0.0,0.399,101.0,98.0,0.0,3449000000000.0,4.01e-07,Lagos_Nigeria
40.126,10.35,40840.0,2024-11-10 18:00:00,0.0,0.764,0.0,25.819,48.0,99.0,0.0,2368000000000.0,1.503e-06,Addis_Ababa_Ethiopia
40.528,10.753,40840.0,2024-11-10 18:50:00,0.0,0.6128,0.0,20.365,55.0,99.0,0.0,2947000000000.0,1.359e-06,Addis_Ababa_Ethiopia
40.6,10.83,40840.0,2024-11-10 19:00:00,0.0,0.1411,0.0,2.653,83.0,101.0,0.0,2992000000000.0,6.8e-07,Addis_Ababa_Ethiopia
-7.76,31.836,34469.0,2024-11-10 15:40:00,0.0,0.2494,-30.343,6.921,137.0,113.0,3943.0,6365000000000.0,1.106e-06,Marrakech_Morocco
-7.741,31.867,35049.0,2024-11-10 15:40:00,0.0,1.6163,-108.046,46.581,56.0,100.0,0.0,8929000000000.0,1.32e-06,Marrakech_Morocco
-7.661,31.943,36785.0,2024-11-10 15:50:00,0.0,0.1448,-18.741,2.485,195.0,102.0,0.0,8488000000000.0,6.11e-07,Marrakech_Morocco
-7.013,32.597,40840.0,2024-11-10 17:10:00,0.0,1.2031,-36.886,43.257,43.0,98.0,0.0,2902000000000.0,1.683e-06,Marrakech_Morocco
-6.61,32.998,40840.0,2024-11-10 18:00:00,0.0,1.3096,0.0,40.767,46.0,98.0,0.0,4221000000000.0,1.455e-06,Marrakech_Morocco
