longitude,latitude,altitude,time,tau_cirrus,tau_contrail,rf_sw,rf_lw,width,depth,segment_length,n_ice_per_m,r_ice_vol,location
8.694,47.521,32192.0,2024-11-10 15:30:00,0.0,1.3864,-18.208,31.244,94.0,114.0,0.0,11205000000000.0,1.371e-06,Zurich_Switzerland
8.77,47.598,33612.0,2024-11-10 15:40:00,0.0,0.2834,-17.606,5.459,303.0,116.0,2281.0,19212000000000.0,9.48e-07,Zurich_Switzerland
8.782,47.616,34098.0,2024-11-10 15:40:00,0.0,2.7234,-17.692,58.612,62.0,103.0,0.0,13314000000000.0,1.407e-06,Zurich_Switzerland
8.831,47.656,34551.0,2024-11-10 15:50:00,0.0,0.1003,0.0,1.87,671.0,128.0,2318.0,15118000000000.0,8.73e-07,Zurich_Switzerland
8.844,47.675,35033.0,2024-11-10 15:50:00,0.0,0.236,0.0,5.827,428.0,117.0,2363.0,15015000000000.0,1.188e-06,Zurich_Switzerland
8.859,47.693,35515.0,2024-11-10 15:50:00,0.0,1.6462,0.0,42.56,96.0,104.0,0.0,10699000000000.0,1.481e-06,Zurich_Switzerland
8.886,47.715,35486.0,2024-11-10 16:00:00,0.0,0.0754,0.0,1.648,769.0,134.0,2335.0,12535000000000.0,1.012e-06,Zurich_Switzerland
8.9,47.733,35971.0,2024-11-10 16:00:00,0.0,0.1146,0.0,2.774,602.0,124.0,2328.0,12274000000000.0,1.125e-06,Zurich_Switzerland
8.916,47.751,36453.0,2024-11-10 16:00:00,0.0,0.195,0.0,4.707,338.0,113.0,2462.0,11733000000000.0,1.124e-06,Zurich_Switzerland
8.934,47.77,36939.0,2024-11-10 16:00:00,0.0,0.8937,0.0,24.309,122.0,104.0,0.0,8690000000000.0,1.4e-06,Zurich_Switzerland
9.011,47.844,38363.0,2024-11-10 16:10:00,0.0,0.0724,0.0,0.796,187.0,104.0,0.0,7004000000000.0,4.79e-07,Zurich_Switzerland
9.183,48.018,38839.0,2024-11-10 16:30:00,0.0,0.4838,0.0,11.708,99.0,100.0,0.0,6843000000000.0,1.203e-06,Zurich_Switzerland
9.26,48.094,38839.0,2024-11-10 16:40:00,0.0,0.2091,0.0,3.887,143.0,101.0,0.0,6739000000000.0,8.71e-07,Zurich_Switzerland
9.509,48.344,38839.0,2024-11-10 17:10:00,0.0,2.3746,0.0,54.432,42.0,98.0,0.0,6957000000000.0,1.457e-06,Zurich_Switzerland
9.586,48.42,38839.0,2024-11-10 17:20:00,0.0,0.3834,0.0,8.899,109.0,100.0,0.0,6856000000000.0,1.154e-06,Zurich_Switzerland
9.662,48.496,38839.0,2024-11-10 17:30:00,0.0,0.205,0.0,3.663,146.0,102.0,0.0,6756000000000.0,8.47e-07,Zurich_Switzerland
9.911,48.746,38839.0,2024-11-10 18:00:00,0.0,1.4598,0.0,35.103,60.0,99.0,0.0,6984000000000.0,1.4e-06,Zurich_Switzerland
9.988,48.822,38839.0,2024-11-10 18:10:00,0.0,0.4101,0.0,9.505,110.0,100.0,0.0,6896000000000.0,1.179e-06,Zurich_Switzerland
10.064,48.899,38842.0,2024-11-10 18:20:00,0.0,0.2208,0.0,4.476,141.0,102.0,0.0,6814000000000.0,9.92e-07,Zurich_Switzerland
10.14,48.975,38842.0,2024-11-10 18:30:00,0.0,0.1814,0.0,3.017,163.0,104.0,0.0,6737000000000.0,7.93e-07,Zurich_Switzerland
