station_id,latitude,longitude,name,has_data_from,has_data_up_to
AGM00060390,36.6833,3.2167,DAR-EL-BEIDA,1948,2025
AUM00011010,48.2353,14.1881,LINZ/HOERSCHING-FLUGHAFEN,1987,2025
AUM00011035,48.2486,16.3564,WIEN/HOHE WARTE,1910,2025
AUM00011120,47.2603,11.3439,INNSBRUCK-FLUGHAFEN,1998,2025
AUM00011240,46.9931,15.4392,GRAZ-THALERHOF-FLUGHAFEN,1987,2025
BEM00006458,50.7456,4.7633,BEAUVECHAIN,2005,2025
BEM00006496,50.4822,6.1814,ELSENBORN,1999,2021
BOM00026850,53.9286,27.6353,MINSK,1939,2025
BOM00033008,52.1167,23.6858,BREST,1951,2022
BOM00033041,52.4019,30.9631,GOMEL,1970,2022
BUM00015614,42.65,23.3833,SOFIA (OBSERV.),1955,2025
CYM00017607,35.1408,33.3964,ATHALASSA,1949,2025
DAM00006060,56.2933,9.1139,FLYVESTATION KARUP,1999,2024
ENM00026038,59.3981,24.6028,TALLINN-HARKU,1947,2025
EZM00011520,50.0078,14.4469,PRAHA-LIBUS,1969,2025
EZM00011747,49.4525,17.1347,PROSTEJOV,2003,2025
FIM00002836,67.3667,26.6289,SODANKYLA ARCTIC RESEARCH CENT,1920,2025
FIM00002963,60.8139,23.4975,JOKIOINEN OBSERVATORY,1957,2025
FOM00006011,62.0231,-6.7647,TORSHAVN,1949,2025
FRM00007110,48.4442,-4.4119,BREST-GUIPAVAS,1940,2025
FRM00007145,48.7744,2.0097,TRAPPES,1949,2025
FRM00007510,44.8306,-0.6914,BORDEAUX MERIGNAC,1920,2025
FRM00007645,43.8569,4.4064,NIMES-COURBESSAC,1949,2025
FRM00007761,41.9181,8.7928,AJACCIO,1951,2025
GMM00010035,54.5333,9.55,SCHLESWIG,1954,2025
GMM00010113,53.7139,7.1525,NORDERNEY,2011,2025
GMM00010184,54.0978,13.4075,GREIFSWALD,1950,2025
GMM00010238,52.8153,9.9247,BERGEN,1969,2025
GMM00010304,52.7156,7.3175,MEPPEN,1972,2025
GMM00010393,52.2167,14.1167,LINDENBERG,1905,2025
GMM00010410,51.4056,6.9686,ESSEN-BREDENEY,1965,2025
GMM00010548,50.5617,10.3772,MEININGEN,1969,2025
GMM00010618,49.6928,7.3264,IDAR-OBERSTEIN,1971,2025
GMM00010739,48.8333,9.2,STUTTGART/SCHNARRENBERG,1957,2025
GMM00010771,49.4283,11.9022,KUEMMERSBRUCK,1969,2025
GMM00010868,48.2442,11.5525,MUENCHEN-OBERSCHLEISSHEIM,1976,2025
GMM00010954,47.8342,10.8667,ALTENSTADT,1977,2025
GMM00010962,47.8019,11.0119,HOHENPEISSENBERG,1982,2025
GRM00016622,40.5272,22.9714,THESSALONIKI (AIRPORT),1955,2025
GRM00016716,37.8897,23.7417,ATHINAI HELLINIKON,1949,2025
GRM00016754,35.3353,25.1819,HERAKLEION (AIRPORT),1964,2025
HRM00014240,45.8219,16.0336,ZAGREB/MAKSIMIR,1955,2025
HRM00014430,44.0969,15.3403,ZADAR RS,1982,2025
HUM00012843,47.4333,19.1833,BUDAPEST/PESTSZENTLORINC,1949,2025
HUM00012982,46.25,20.1,SZEGED,1965,2025
ITM00016045,45.9806,13.0592,UDINE/RIVOLTO RDS,2016,2025
ITM00016080,45.4614,9.2831,MILANO LINATE RDS,1949,2021
ITM00016113,44.5392,7.6125,CUNEO-LEVALDIGI RDS,2000,2025
ITM00016144,44.6539,11.6225,S. PIETRO CAPOFIUME RDS,1986,2025
ITM00016245,41.67,12.4508,PRATICA DI MARE RDS,1986,2025
ITM00016320,40.6603,17.9567,BRINDISI RDS,1953,2021
ITM00016429,37.9142,12.4914,TRAPANI BIRGI RDS,1974,2025
ITM00016546,39.3461,8.9675,DECIMOMANNU RDS,2012,2025
LGM00026435,56.6425,25.1283,SKRIVERI,2006,2025
LHM00026629,54.8839,23.8358,KAUNAS,1947,2025
LOM00011952,49.0333,20.3167,POPRAD-GANOVCE,1977,2025
NLM00006260,52.0989,5.1797,DE BILT AWS,1911,2025
NOM00001010,69.3153,16.1308,ANDOYA,2014,2025
NOM00001241,63.7056,9.6117,ORLAND III,1959,2025
NOM00001400,56.5422,3.2236,EKOFISK,1994,2025
NOM00001415,58.8742,5.665,STAVANGER/SOLA,1949,2025
NOM00001492,59.9428,10.7194,OSLO-BLINDERN,2001,2025
PLM00012120,54.7536,17.5347,LEBA,1972,2025
PLM00012374,52.4078,20.9564,LEGIONOWO,1956,2025
PLM00012425,51.1131,16.8811,WROCLAW I,1956,2025
RIM00013275,44.7667,20.4167,BEOGRAD/KOSUTNJAK,1971,2025
RIM00013388,43.3333,21.9,NIS,1973,2025
ROM00015420,44.5106,26.0781,BUCURESTI BANEASA,1950,2025
RSM00022217,67.1692,32.3542,KANDALAKSHA,1957,2025
RSM00022522,64.95,34.65,KEM,1950,2025
RSM00022820,61.8167,34.2667,PETROZAVODSK,1957,2025
RSM00022845,61.5067,38.9347,KARGOPOL,1962,2025
RSM00026298,57.8833,34.0333,BOLOGOE,1952,2025
RSM00026477,56.35,30.6167,VELIKIE LUKI,1960,2025
RSM00026702,54.7264,20.5583,KALININGRAD,1939,2020
RSM00026781,54.75,32.0667,SMOLENSK,1939,2025
RSM00027038,59.3183,39.9256,VOLOGDA,1947,2025
RSM00027707,54.1,35.35,SUHINICHI,1961,2025
RSM00027730,54.6333,39.7,RYAZAN,1962,2025
RSM00034009,51.7667,36.1667,KURSK,1946,2025
RSM00034122,51.65,39.25,VORONEZ,1939,2025
RSM00034731,47.25,39.8167,ROSTOV-NA-DONU,1939,2025
RSM00037011,44.1,39.0333,TUAPSE,1950,2025
SIM00014015,46.0656,14.5122,LJUBLJANA/BEZIGRAD,1996,2025
SPM00008001,43.3658,-8.4214,LA CORUNA,1958,2025
SPM00008023,43.4911,-3.8006,SANTANDER,1973,2025
SPM00008190,41.3844,2.1181,BARCELONA SERVEI,2007,2025
SPM00008221,40.4653,-3.5797,MADRID/BARAJAS RS,1950,2025
SPM00008302,39.6058,2.7067,MALLORCA-SON BONET,1958,2025
SPM00008383,37.2783,-6.9117,HUELVA,2018,2025
SPM00008430,38.0019,-1.1708,MURCIA,1984,2025
SWM00002185,65.5433,22.1144,LULEA-KALLAX,1949,2025
SWM00002365,62.5317,17.4361,SUNDSVALL HARNOSAND,1965,2025
SWM00002527,57.6572,12.2911,GOTEBORG/LANDVETTER,1977,2024
SWM00002591,57.65,18.35,VISBY AEROLOGISKA STATION,1977,2025
SZM00006610,46.8117,6.9425,PAYERNE,1943,2025
TSM00060715,36.8333,10.2333,TUNIS-CARTHAGE,1948,2025
TUM00017030,41.2833,36.3,SAMSUN,1952,2025
TUM00017064,40.9,29.15,ISTANBUL BOLGE (KARTAL),1951,2025
TUM00017130,39.95,32.8833,ANKARA/CENTRAL,1949,2024
TUM00017196,38.6833,35.4833,KAYSERI BOLGE,2016,2025
TUM00017220,38.4333,27.1667,IZMIR/GUZELYALI,1952,2025
TUM00017240,37.75,30.55,ISPARTA,1970,2025
TUM00017351,36.9833,35.35,ADANA/BOLGE,1986,2025
UKM00003005,60.1392,-1.1847,LERWICK,1941,2025
UKM00003023,57.3575,-7.385,SOUTH UIST RANGE,1998,2025
UKM00003238,55.0197,-1.8817,ALBEMARLE,2002,2025
UKM00003354,53.0056,-1.2511,NOTTINGHAM,1998,2025
UKM00003502,52.1394,-4.5711,ABERPORTH,1969,2025
UKM00003559,52.1039,-0.4214,CARDINGTON,1996,2021
UKM00003693,51.5547,0.8269,SHOEBURYNESS,1966,2025
UKM00003743,51.2017,-1.8058,LARKHILL,1942,2025
UKM00003808,50.2183,-5.3275,CAMBORNE,1949,2025
UKM00003882,50.8994,0.3169,HERSTMONCEUX,1993,2025
UKM00003918,54.5,-6.3333,CASTOR BAY,2002,2025
UPM00033317,50.1667,27.0333,SHEPETIVKA,1957,2022
UPM00033345,50.4,30.5667,KIEV,1939,2022
UPM00033393,49.8167,23.95,L'VIV,1947,2022
UPM00033791,48.0333,33.2167,KRYVYI RIH,1949,2022
UPM00033837,46.4333,30.7667,ODESA,1939,2022
UPM00034300,49.9667,36.1333,KHARKIV,1939,2022
