,station_id,latitude,longitude,elevation,station_name,start_year,end_year
1,AEM00041217,24.4333,54.65,16.0,ABU DHABI INTERNATIONAL AIRPOR,1983,2025
6,AFM00040948,34.55,69.2167,1791.0,KABUL AIRPORT,1961,2021
10,AGM00060390,36.6833,3.2167,25.0,DAR-EL-BEIDA,1948,2025
25,AGM00060571,31.5,-2.25,811.0,BECHAR,1948,2025
33,AGM00060630,27.2333,2.5,273.0,IN-SALAH,1964,2025
35,AGM00060656,27.7,-8.1667,443.0,TINDOUF,1973,2025
38,AGM00060680,22.8,5.4333,1377.0,TAMANRASSET,1934,2025
44,AJM00037860,40.5333,50.0,27.0,MASHTAGA,1947,2025
49,AMM00037789,40.2169,44.5017,1134.0,YEREVAN AERO,1949,2022
57,AQM00091765,-14.3383,-170.7192,5.5,PAGO PAGO/INT.AIRP. AMERICAN S,1966,2025
60,ARM00087155,-27.45,-59.05,53.0,RESISTENCIA AERO,1961,2025
62,ARM00087244,-29.9,-63.6833,341.0,VILLA DE MARIA DEL RIO SECO,2018,2018
63,ARM00087344,-31.3167,-64.2167,484.0,CORDOBA AERO,1959,2025
64,ARM00087418,-32.8333,-68.7833,705.0,MENDOZA AERO,1974,2025
66,ARM00087576,-34.8167,-58.5333,20.0,EZEIZA AERO,1957,2022
69,ARM00087623,-36.5667,-64.2667,190.0,SANTA ROSA AERO,1965,2025
70,ARM00087715,-38.95,-68.1333,270.0,NEUQUEN AERO,1957,2025
73,ARM00087860,-45.7833,-67.5,58.0,COMODORO RIVADAVIA AERO,1958,2025
78,ASM00094120,-12.4239,130.8925,31.4,DARWIN AIRPORT,1943,2025
79,ASM00094150,-12.2742,136.8203,62.5,GOVE AIRPORT,1985,2023
80,ASM00094170,-12.6778,141.9208,19.2,WEIPA AERO,1993,2025
82,ASM00094203,-17.9475,122.2353,17.4,BROOME AIRPORT,1950,2025
84,ASM00094212,-18.2292,127.6636,410.3,HALLS CREEK AIRPORT,1950,2016
90,ASM00094294,-19.2483,146.7661,5.5,TOWNSVILLE AERO,1943,2019
91,ASM00094299,-16.2833,149.965,9.0,WILLIS ISLAND,1947,2025
93,ASM00094302,-22.2406,114.0967,6.0,LEARMONTH AIRPORT,1975,2025
95,ASM00094312,-20.3725,118.6317,10.1,PORT HEDLAND AIRPORT,1950,2025
96,ASM00094326,-23.795,133.8889,545.3,ALICE SPRINGS AIRPORT,1946,2025
