station_id,latitude,longitude,elevation,name,lstyear
AEM00041217,24.4333,54.65,16.0,ABU DHABI INTERNATIONAL AIRPOR,2025
AGM00060390,36.6833,3.2167,25.0,DAR-EL-BEIDA,2025
AGM00060571,31.5,-2.25,811.0,BECHAR,2025
AGM00060630,27.2333,2.5,273.0,IN-SALAH,2025
AGM00060656,27.7,-8.1667,443.0,TINDOUF,2025
AGM00060680,22.8,5.4333,1377.0,TAMANRASSET,2025
AJM00037860,40.5333,50.0,27.0,MASHTAGA,2025
AQM00091765,-14.3383,-170.7192,5.5,PAGO PAGO/INT.AIRP. AMERICAN S,2025
ARM00087155,-27.45,-59.05,53.0,RESISTENCIA AERO,2025
ARM00087344,-31.3167,-64.2167,484.0,CORDOBA AERO,2025
ARM00087418,-32.8333,-68.7833,705.0,MENDOZA AERO,2025
ARM00087623,-36.5667,-64.2667,190.0,SANTA ROSA AERO,2025
ARM00087715,-38.95,-68.1333,270.0,NEUQUEN AERO,2025
ARM00087860,-45.7833,-67.5,58.0,COMODORO RIVADAVIA AERO,2025
ASM00094120,-12.4239,130.8925,31.4,DARWIN AIRPORT,2025
ASM00094170,-12.6778,141.9208,19.2,WEIPA AERO,2025
ASM00094203,-17.9475,122.2353,17.4,BROOME AIRPORT,2025
ASM00094299,-16.2833,149.965,9.0,WILLIS ISLAND,2025
ASM00094302,-22.2406,114.0967,6.0,LEARMONTH AIRPORT,2025
ASM00094312,-20.3725,118.6317,10.1,PORT HEDLAND AIRPORT,2025
ASM00094326,-23.795,133.8889,545.3,ALICE SPRINGS AIRPORT,2025
ASM00094332,-20.6778,139.4875,341.7,MOUNT ISA AERO,2025
ASM00094403,-28.8044,114.6989,36.9,GERALDTON AIRPORT,2025
ASM00094430,-26.6136,118.5372,522.1,MEEKATHARRA AIRPORT,2025
ASM00094461,-25.0342,128.3011,580.0,GILES METEOROLOGICAL OFFICE,2025
ASM00094510,-26.4139,146.2558,305.7,CHARLEVILLE AERO,2025
ASM00094578,-27.3917,153.1292,4.0,BRISBANE AERO,2025
ASM00094610,-31.9275,115.9764,20.4,PERTH AIRPORT,2025
ASM00094637,-30.7847,121.4533,366.7,KALGOORLIE-BOULDER AIRPORT,2025
ASM00094638,-33.83,121.8925,25.0,ESPERANCE,2024
ASM00094653,-32.1297,133.6975,23.5,CEDUNA AMO,2025
ASM00094659,-31.1558,136.8053,167.0,WOOMERA AERODROME,2025
ASM00094672,-34.9525,138.5203,6.1,ADELAIDE AIRPORT,2025
ASM00094711,-31.4839,145.8294,260.0,COBAR MO,2025
ASM00094750,-34.9469,150.5353,122.0,NOWRA RAN AIR STATION AWS,2024
ASM00094767,-33.9464,151.1731,6.4,SYDNEY AIRPORT AMO,2025
ASM00094776,-32.7933,151.8358,9.5,WILLIAMTOWN RAAF,2024
ASM00094802,-34.9414,117.8022,71.0,ALBANY AIRPORT,2025
ASM00094821,-37.7472,140.7739,64.6,MOUNT GAMBIER AERO,2025
ASM00094866,-37.6656,144.8322,132.3,MELBOURNE AIRPORT,2025
ASM00094910,-35.1583,147.4572,220.7,WAGGA WAGGA AMO,2025
ASM00094975,-42.8339,147.5033,4.0,HOBART AIRPORT,2024
ASM00094995,-31.5422,159.0786,5.2,LORD HOWE ISLAND AERO,2025
ASM00094998,-54.4994,158.937,6.0,MACQUARIE ISLAND,2025
ASM00095527,-29.4897,149.8472,213.7,MOREE AERO,2025
AUM00011010,48.2353,14.1881,298.0,LINZ/HOERSCHING-FLUGHAFEN,2025
AUM00011035,48.2486,16.3564,200.0,WIEN/HOHE WARTE,2025
AUM00011120,47.2603,11.3439,581.0,INNSBRUCK-FLUGHAFEN,2025
AUM00011240,46.9931,15.4392,340.0,GRAZ-THALERHOF-FLUGHAFEN,2025
AYM00089002,-70.6667,-8.25,50.0,NEUMAYER,2025
AYM00089009,-90.0,-0.0,2835.0,AMUNDSEN-SCOTT,2025
AYM00089022,-75.445,-26.2181,30.0,HALLEY,2025
AYM00089055,-64.2333,-56.7167,208.0,BASE MARAMBIO,2025
AYM00089062,-67.5661,-68.1297,3.0,ROTHERA,2025
AYM00089512,-70.7678,11.8317,118.9,NOVOLAZAREVSKAJA,2025
AYM00089532,-69.0053,39.5811,18.4,SYOWA,2025
AYM00089564,-67.6017,62.8753,9.9,MAWSON,2025
AYM00089571,-68.5744,77.9672,18.0,DAVIS,2025
AYM00089592,-66.5519,93.0147,43.4,MIRNYJ,2025
AYM00089611,-66.2825,110.5231,40.0,CASEY,2025
AYM00089625,-75.1017,123.4119,3233.0,CONCORDIA,2025
AYM00089642,-66.6631,140.0011,43.0,DUMONT D'URVILLE,2025
AYM00089662,-74.6958,164.0922,92.0,MARIO ZUCHELLI STATION,2024
AYM00089664,-77.85,166.6667,24.0,MCMURDO,2025
BBM00078954,13.0667,-59.4833,50.0,GRANTLEY ADAMS,2025
BDM00078016,32.3669,-64.6772,4.0,L F WADE INTERNATIONAL AIRPORT,2025
BEM00006458,50.7456,4.7633,112.8,BEAUVECHAIN,2025
BGM00041859,25.7333,89.2333,33.0,RANGPUR,2025
BGM00041883,24.85,89.3667,18.0,BOGRA,2025
BGM00041891,24.9,91.8833,34.0,SYLHET,2025
BGM00041907,24.1333,89.05,13.0,ISHWARDI,2025
BGM00041923,23.7667,90.3833,8.0,DHAKA,2025
BGM00041936,23.1833,89.1667,6.0,JESSORE,2025
BGM00041943,23.0333,91.4167,6.0,FENI,2025
BGM00041950,22.75,90.3667,3.0,BARISAL,2025
BGM00041977,22.35,91.8167,33.0,CHITTAGONG (AMBAGAN),2025
BGM00041992,21.4333,91.9333,2.0,COX'S BAZAR,2025
BHM00078583,17.5333,-88.3,5.0,BELIZE/PHILLIP GOLDSTON INTL.,2025
BNM00065344,6.35,2.3833,5.0,COTONOU,2025
BOM00026850,53.9286,27.6353,223.8,MINSK,2025
BRM00082022,2.8333,-60.7,140.0,BOA VISTA (AERO),2025
BRM00082026,2.2239,-55.9472,325.0,TIRIOS,2025
BRM00082099,0.05,-51.0667,16.0,MACAPA (AERO),2025
BRM00082107,-0.1167,-66.9667,79.0,SAO GABRIEL DA CACHOEIRA,2025
BRM00082193,-1.3833,-48.4833,16.0,BELEM (AERO),2025
BRM00082244,-2.4333,-54.7167,72.0,SANTAREM (AERO),2025
BRM00082332,-3.15,-59.9833,84.0,MANAUS (AERO),2025
BRM00082400,-3.85,-32.4167,56.0,FERNANDO DE NORONHA,2025
BRM00082411,-4.25,-69.9333,81.0,TABATINGA (AERO),2025
BRM00082532,-5.8167,-61.2833,53.0,MANICORE (AERO),2025
BRM00082599,-5.9167,-35.25,52.0,NATAL (AERO),2025
BRM00082705,-7.5833,-72.7667,199.0,CRUZEIRO DO SUL (AERO),2025
BRM00082824,-8.7667,-63.9167,102.0,PORTO VELHO (AERO),2025
BRM00082917,-10.0,-67.8,142.0,RIO BRANCO (AERO),2025
BRM00082965,-9.8667,-56.1,288.0,ALTA FLORESTA (AERO),2025
BRM00083208,-12.7,-60.1,612.0,VILHENA (AERO),2025
BRM00083378,-15.8667,-47.9333,1061.0,BRASILIA (AERO),2025
BRM00083525,-18.8833,-48.2167,943.0,UBERLANDIA (AERO),2025
BRM00083554,-19.0,-57.6667,141.0,CORUMBA (AERO),2025
BRM00083566,-19.6167,-43.9667,827.0,CONFINS (AERO),2025
BRM00083612,-20.4667,-54.6667,567.0,CAMPO GRANDE (AERO),2025
BRM00083649,-20.2667,-40.2833,4.0,VITORIA (AERO),2025
BRM00083746,-22.8167,-43.25,6.0,GALEAO,2024
BRM00083768,-23.3333,-51.1333,569.0,LONDRINA (AERO),2025
BRM00083779,-23.5,-46.6333,722.0,MARTE (AERO),2025
BRM00083827,-25.5167,-54.5833,180.0,FOZ DO IGUACU (AERO),2025
BRM00083840,-25.5167,-49.1667,908.0,CURITIBA (AERO),2025
BRM00083899,-27.6667,-48.55,5.0,FLORIANOPOLIS (AERO),2025
BRM00083928,-29.7833,-57.0333,74.0,URUGUAIANA (AERO),2025
BRM00083937,-29.7167,-53.7,85.0,SANTA MARIA (AERO),2025
BRM00083971,-30.0,-51.1833,3.0,PORTO ALEGRE (AERO),2024
BUM00015614,42.65,23.3833,595.0,SOFIA (OBSERV.),2025
BXM00096315,4.9333,114.9333,22.0,BRUNEI AIRPORT,2025
BXM00096323,4.583,114.2,3.0,KUALA BELAIT,2024
CAM00071043,65.2833,-126.75,93.6,NORMAN WELLS UA,2025
CAM00071081,68.7667,-81.2167,5.9,HALL BEACH UA,2025
CAM00071082,82.5,-62.3333,65.4,ALERT UA,2025
CAM00071109,50.685,-127.3758,17.4,PORT HARDY UA,2025
CAM00071119,53.5475,-114.1083,766.3,EDMONTON STONY PLAIN,2025
CAM00071603,43.8667,-66.1,8.9,YARMOUTH UA,2025
CAM00071701,45.8333,-66.4333,50.6,GAGETOWN A,2025
CAM00071722,46.3019,-76.0061,188.6,MANIWAKI UA,2025
CAM00071802,47.5167,-52.7833,112.4,ST JOHN'S WEST UA,2025
CAM00071811,50.2167,-66.25,53.1,SEPT-ILES UA,2025
CAM00071815,48.5667,-58.5667,57.0,STEPHENVILLE UA,2025
CAM00071816,53.3,-60.3667,35.7,GOOSE UA,2025
CAM00071823,53.7572,-73.6792,302.4,LA GRANDE IV UA,2025
CAM00071843,49.8,-97.1333,227.0,WINNIPEG UA,2024
CAM00071845,51.45,-90.2,386.2,PICKLE LAKE UA,2025
CAM00071867,53.9667,-101.1,274.0,THE PAS UA,2025
CAM00071906,58.1167,-68.4167,60.2,KUUJJUAQ,2025
CAM00071907,58.4667,-78.0833,24.4,INUKJUAK UA,2025
CAM00071908,53.9,-122.79,600.5,PRINCE GEORGE UA,2025
CAM00071909,63.75,-68.55,21.9,IQALUIT UA,2025
CAM00071913,58.7333,-94.0667,28.5,CHURCHILL A UA,2025
CAM00071917,79.9833,-85.9333,10.4,EUREKA UA,2025
CAM00071924,74.7042,-94.9681,46.1,RESOLUTE UA,2025
CAM00071925,69.1333,-105.0667,25.1,CAMBRIDGE BAY UA,2025
CAM00071926,64.3167,-96.0,50.8,BAKER LAKE UA,2025
CAM00071934,60.0261,-111.9294,204.1,FORT SMITH UA,2025
CAM00071945,58.8333,-122.6,378.3,FORT NELSON UA,2025
CAM00071957,68.3167,-133.5167,103.2,INUVIK UA,2025
CAM00071964,60.7328,-135.0969,707.0,WHITEHORSE UA,2025
CDM00064700,12.1333,15.0333,295.0,NDJAMENA,2025
CDM00064750,9.15,18.3833,365.0,SARH,2024
CEM00043413,8.9833,79.9167,3.0,MANNAR,2024
CEM00043418,8.5833,81.25,79.0,TRINCOMALEE,2024
CEM00043466,6.9,79.8667,7.0,COLOMBO,2025
CEM00043497,6.1167,81.1333,18.0,HAMBANTOTA,2024
CFM00064400,-4.8167,11.9,17.0,POINTE-NOIRE,2025
CFM00064450,-4.25,15.25,319.0,BRAZZAVILLE /MAYA-MAYA,2024
CFM00064458,1.6167,16.05,352.0,OUESSO,2024
CHM00050527,49.25,119.7,653.3,HAILAR,2025
CHM00050557,49.1667,125.2333,243.0,NENJIANG,2025
CHM00050774,47.7167,128.8333,264.8,YICHUN,2025
CHM00050953,45.9333,126.5667,118.3,HARBIN,2025
CHM00051076,47.7333,88.0833,737.0,ALTAY,2025
CHM00051243,45.6167,84.85,457.0,KARAMAY,2025
CHM00051431,43.95,81.3333,664.0,YINING,2025
CHM00051463,43.7833,87.6167,919.0,WU LU MU QI,2025
CHM00051644,41.7167,82.95,1083.5,KUQA,2025
CHM00051656,41.7294,85.8186,903.0,KORLA,2025
CHM00051709,39.4833,75.75,1386.7,KASHI,2025
CHM00051777,39.0333,88.1667,889.0,RUOQIANG,2025
CHM00051828,37.1333,79.9333,1375.0,HOTAN,2025
CHM00051839,37.0667,82.7167,1409.0,MINFENG,2025
CHM00052203,42.8167,93.5167,739.0,HAMI,2025
CHM00052267,41.95,101.0667,941.0,EJIN QI,2025
CHM00052323,41.8,97.0333,1770.0,MAZONG SHAN,2025
CHM00052418,40.15,94.6833,1140.0,DUNHUANG,2025
CHM00052533,39.7667,98.4833,1478.0,JIUQUAN,2025
CHM00052681,38.6333,103.0833,1367.0,MINQIN,2025
CHM00052818,36.4167,94.9,2809.0,GOLMUD,2025
CHM00052836,36.3,98.1,3190.0,DOULAN,2025
CHM00052866,36.7167,101.75,2296.0,XINING,2025
CHM00052983,35.8667,104.15,1875.0,YU ZHONG,2025
CHM00053068,43.6333,111.95,966.0,ERENHOT,2025
CHM00053463,40.85,111.5667,1153.5,HOHHOT,2025
CHM00053513,40.7333,107.3667,1041.0,LINHE,2025
CHM00053543,39.8333,109.9833,1459.0,DONGSHENG,2025
CHM00053614,38.4667,106.2,1112.0,YINCHUAN,2025
CHM00053772,37.6206,112.5767,776.0,TAIYUAN,2025
CHM00053845,36.5667,109.45,958.9,YAN AN,2025
CHM00053915,35.55,106.6667,1348.0,PINGLIANG,2025
CHM00054102,43.95,116.1167,1004.0,XILIN HOT,2025
CHM00054135,43.6,122.2667,180.0,TONGLIAO,2025
CHM00054161,43.9,125.2167,238.0,CHANGCHUN,2025
CHM00054218,42.3,118.8333,668.6,CHIFENG,2025
CHM00054292,42.8667,129.5,258.0,YANJI,2025
CHM00054374,41.8,126.8833,385.0,LINJIANG,2025
CHM00054511,39.9333,116.2833,32.5,BEIJING,2025
CHM00054662,38.9,121.6333,97.0,DALIAN,2025
CHM00054727,36.7,117.55,123.0,ZHANGQIU,2025
CHM00054857,36.0667,120.3333,77.0,QINGDAO,2025
CHM00055299,31.4833,92.0667,4508.0,NAGQU,2025
CHM00055591,29.6667,91.1333,3650.0,LHASA,2025
CHM00056029,33.0,96.95,3716.9,YUSHU,2025
CHM00056046,33.75,99.65,3968.0,DARLAG,2025
CHM00056080,35.0,102.9,2910.0,HEZUO,2025
CHM00056137,31.15,97.1667,3307.0,QAMDO,2025
CHM00056146,31.6167,100.0,3394.0,GARZE,2025
CHM00056187,30.75,103.8667,549.0,WENJIANG,2025
CHM00056492,28.8,104.6,342.0,YIBIN,2025
CHM00056571,27.9,102.2667,1599.0,XICHANG,2025
CHM00056651,26.8333,100.2167,2382.0,LIJING,2025
CHM00056691,26.8667,104.2833,2236.0,WEINING,2025
CHM00056739,24.9844,98.5056,1696.9,TENGCHONG,2025
CHM00056778,25.0167,102.6833,1892.0,KUNMING,2025
CHM00056964,22.7667,100.9833,1303.0,SIMAO,2025
CHM00056985,23.4444,103.3278,1313.6,MENGZI,2025
CHM00057083,34.7167,113.65,111.0,ZHENGZHOU,2025
CHM00057127,33.0667,107.0333,509.0,HANZHONG,2025
