longitude,latitude,altitude,time,tau_cirrus,tau_contrail,rf_sw,rf_lw,width,depth,segment_length,n_ice_per_m,r_ice_vol,location,RHi_era5,flight_level,month,seasonal_factor,RHi_pred,hour,rf_total
8.694,47.521,32192.0,2024-11-10 15:30:00,0.0,1.3864,-18.208,31.244,94.0,114.0,0.0,11205000000000.0,1.371e-06,Zurich_Switzerland,1.0969687149005432,321.92,11,1,1.0988880550634046,15,13.036000000000001
8.77,47.598,33612.0,2024-11-10 15:40:00,0.0,0.2834,-17.606,5.459,303.0,116.0,2281.0,19212000000000.0,9.48e-07,Zurich_Switzerland,1.121798818623717,336.12,11,1,1.1023689035545499,15,-12.147000000000002
8.782,47.616,34098.0,2024-11-10 15:40:00,0.0,2.7234,-17.692,58.612,62.0,103.0,0.0,13314000000000.0,1.407e-06,Zurich_Switzerland,1.1184823334825975,340.98,11,1,1.1005070954033105,15,40.92
8.831,47.656,34551.0,2024-11-10 15:50:00,0.0,0.1003,0.0,1.87,671.0,128.0,2318.0,15118000000000.0,8.73e-07,Zurich_Switzerland,1.0731153554654913,345.51,11,1,1.098344400468555,15,1.87
8.844,47.675,35033.0,2024-11-10 15:50:00,0.0,0.236,0.0,5.827,428.0,117.0,2363.0,15015000000000.0,1.188e-06,Zurich_Switzerland,1.0601554572273275,350.33,11,1,1.0882021798082893,15,5.827
8.859,47.693,35515.0,2024-11-10 15:50:00,0.0,1.6462,0.0,42.56,96.0,104.0,0.0,10699000000000.0,1.481e-06,Zurich_Switzerland,1.0516067365244732,355.15,11,1,1.0891592966523405,15,42.56
8.886,47.715,35486.0,2024-11-10 16:00:00,0.0,0.0754,0.0,1.648,769.0,134.0,2335.0,12535000000000.0,1.012e-06,Zurich_Switzerland,1.03635548885892,354.86,11,1,1.0844711699141278,16,1.648
8.9,47.733,35971.0,2024-11-10 16:00:00,0.0,0.1146,0.0,2.774,602.0,124.0,2328.0,12274000000000.0,1.125e-06,Zurich_Switzerland,1.1375203298856258,359.71,11,1,1.0949573593682898,16,2.774
8.916,47.751,36453.0,2024-11-10 16:00:00,0.0,0.195,0.0,4.707,338.0,113.0,2462.0,11733000000000.0,1.124e-06,Zurich_Switzerland,0.9586843106094975,364.53,11,1,1.0541746614255572,16,4.707
8.934,47.77,36939.0,2024-11-10 16:00:00,0.0,0.8937,0.0,24.309,122.0,104.0,0.0,8690000000000.0,1.4e-06,Zurich_Switzerland,1.183365662629411,369.39,11,1,1.122515171372028,16,24.309
9.011,47.844,38363.0,2024-11-10 16:10:00,0.0,0.0724,0.0,0.796,187.0,104.0,0.0,7004000000000.0,4.79e-07,Zurich_Switzerland,1.1032591060259402,383.63,11,1,1.1043434519242945,16,0.796
9.183,48.018,38839.0,2024-11-10 16:30:00,0.0,0.4838,0.0,11.708,99.0,100.0,0.0,6843000000000.0,1.203e-06,Zurich_Switzerland,1.1110412708399908,388.39,11,1,1.10404966896598,16,11.708
9.26,48.094,38839.0,2024-11-10 16:40:00,0.0,0.2091,0.0,3.887,143.0,101.0,0.0,6739000000000.0,8.71e-07,Zurich_Switzerland,1.155319308006665,388.39,11,1,1.10404966896598,16,3.887
9.509,48.344,38839.0,2024-11-10 17:10:00,0.0,2.3746,0.0,54.432,42.0,98.0,0.0,6957000000000.0,1.457e-06,Zurich_Switzerland,1.0690603293356036,388.39,11,1,1.10404966896598,17,54.432
9.586,48.42,38839.0,2024-11-10 17:20:00,0.0,0.3834,0.0,8.899,109.0,100.0,0.0,6856000000000.0,1.154e-06,Zurich_Switzerland,1.0104363962621377,388.39,11,1,1.10404966896598,17,8.899
9.662,48.496,38839.0,2024-11-10 17:30:00,0.0,0.205,0.0,3.663,146.0,102.0,0.0,6756000000000.0,8.47e-07,Zurich_Switzerland,1.060780213775713,388.39,11,1,1.10404966896598,17,3.663
9.911,48.746,38839.0,2024-11-10 18:00:00,0.0,1.4598,0.0,35.103,60.0,99.0,0.0,6984000000000.0,1.4e-06,Zurich_Switzerland,1.0945292714421078,388.39,11,1,1.10404966896598,18,35.103
9.988,48.822,38839.0,2024-11-10 18:10:00,0.0,0.4101,0.0,9.505,110.0,100.0,0.0,6896000000000.0,1.179e-06,Zurich_Switzerland,1.090218918122463,388.39,11,1,1.10404966896598,18,9.505
10.064,48.899,38842.0,2024-11-10 18:20:00,0.0,0.2208,0.0,4.476,141.0,102.0,0.0,6814000000000.0,9.92e-07,Zurich_Switzerland,1.012390139884628,388.42,11,1,1.1045032306719629,18,4.476
10.14,48.975,38842.0,2024-11-10 18:30:00,0.0,0.1814,0.0,3.017,163.0,104.0,0.0,6737000000000.0,7.93e-07,Zurich_Switzerland,1.1443237318331447,388.42,11,1,1.1045032306719629,18,3.017
10.216,49.051,38845.0,2024-11-10 18:40:00,0.0,0.0736,0.0,0.78,181.0,105.0,0.0,6661000000000.0,4.86e-07,Zurich_Switzerland,1.1330841952340445,388.45,11,1,1.1073165097719688,18,0.78
10.314,49.149,38839.0,2024-11-10 18:50:00,0.0,1.3898,0.0,34.283,67.0,99.0,0.0,7090000000000.0,1.42e-06,Zurich_Switzerland,1.104426079455069,388.39,11,1,1.10404966896598,18,34.283
10.39,49.225,38842.0,2024-11-10 19:00:00,0.0,0.6629,0.0,16.496,102.0,101.0,0.0,7018000000000.0,1.304e-06,Zurich_Switzerland,1.070468229526673,388.42,11,1,1.1045032306719629,19,16.496
10.466,49.302,38842.0,2024-11-10 19:10:00,0.0,0.4114,0.0,9.936,126.0,103.0,0.0,6953000000000.0,1.221e-06,Zurich_Switzerland,1.1422179768852692,388.42,11,1,1.1045032306719629,19,9.936
10.543,49.379,38845.0,2024-11-10 19:20:00,0.0,0.2974,0.0,6.941,143.0,105.0,0.0,6892000000000.0,1.16e-06,Zurich_Switzerland,1.1009621445736117,388.45,11,1,1.1073165097719688,19,6.941
10.627,49.46,34728.0,2024-11-10 19:30:00,0.0,0.9974,0.0,23.46,97.0,111.0,0.0,8042000000000.0,1.381e-06,Zurich_Switzerland,1.1472883374512701,347.28,11,1,1.1094772628510448,19,23.46
10.67,49.493,34718.0,2024-11-10 19:40:00,0.0,0.1515,0.0,2.534,196.0,141.0,0.0,6688000000000.0,8.53e-07,Zurich_Switzerland,1.1206387339318349,347.18,11,1,1.1089974352841532,19,2.534
