station_id,name,latitude,longitude,elevation,date_range
AGM00060355,SKIKDA,36.883,6.9,3.0,1974 to 1976
AGM00060360,ANNABA,36.833,7.817,4.0,1973 to 2008
AGM00060390,DAR-EL-BEIDA,36.6833,3.2167,25.0,1948 to 2025
AGM00060402,BEJAIA-AEROPORT,36.717,5.067,6.0,1973 to 1988
AGM00060419,CONSTANTINE,36.283,6.617,694.0,1973 to 2008
AGM00060425,CHLEF,36.217,1.333,141.0,1973 to 1977
AGM00060430,MILIANA,36.3,2.233,715.0,1973 to 1990
AGM00060445,SETIF,36.183,5.25,1040.0,1983 to 1989
AGM00060475,TEBESSA,35.417,8.117,811.0,1974 to 1991
AGM00060490,ORAN-SENIA,35.633,-0.6,90.0,1973 to 2008
AGM00060511,TIARET,35.35,1.467,989.0,1987 to 1988
AGXUAE04843,ALGER,36.77,3.05,50.0,1930 to 1938
AUM00011010,LINZ/HOERSCHING-FLUGHAFEN,48.2353,14.1881,298.0,1987 to 2025
AUM00011035,WIEN/HOHE WARTE,48.2486,16.3564,200.0,1910 to 2025
AUM00011120,INNSBRUCK-FLUGHAFEN,47.2603,11.3439,581.0,1998 to 2025
AUM00011240,GRAZ-THALERHOF-FLUGHAFEN,46.9931,15.4392,340.0,1987 to 2025
BEM00006400,KOKSIJDE,51.083,2.65,9.0,1999 to 2002
BEM00006447,UCCLE,50.7969,4.3581,99.0,1949 to 2016
BEM00006458,BEAUVECHAIN,50.7456,4.7633,112.8,2005 to 2025
BEM00006476,ST-HUBERT,50.033,5.4,558.0,1964 to 2006
BEM00006496,ELSENBORN,50.4822,6.1814,565.1,1999 to 2021
BOM00026850,MINSK,53.9286,27.6353,223.8,1939 to 2025
BOM00033008,BREST,52.1167,23.6858,145.9,1951 to 2022
BOM00033036,MOZYR (AMOS),52.05,29.25,185.0,1957 to 1969
BOM00033041,GOMEL,52.4019,30.9631,126.3,1970 to 2022
BUM00015614,SOFIA (OBSERV.),42.65,23.3833,595.0,1955 to 2025
BUM00015730,KURDJALI,41.65,25.367,331.0,1966 to 1991
CYM00017607,ATHALASSA,35.1408,33.3964,162.0,1949 to 2025
CYM00017611,USAF-DS3-163,35.083,33.9,37.0,1973 to 1977
DAM00006030,FLYVESTATION AALBOR,57.1,9.867,3.0,1967 to 1992
DAM00006060,FLYVESTATION KARUP,56.2933,9.1139,52.1,1999 to 2024
DAM00006180,KOBENHAVN/KASTRUP,55.6333,12.6667,5.0,1949 to 1962
DAM00006181,JAEGERSBORG,55.767,12.533,40.0,1962 to 2006
ENM00026038,TALLINN-HARKU,59.3981,24.6028,32.9,1947 to 2025
EZM00011518,PRAHA/RUZYNE,50.1,14.2833,374.0,1949 to 1967
EZM00011520,PRAHA-LIBUS,50.0078,14.4469,302.0,1969 to 2025
EZM00011722,USAF-DS3-134,49.08,16.62,195.0,1996 to 2003
EZM00011747,PROSTEJOV,49.4525,17.1347,214.8,2003 to 2025
FIM00002836,SODANKYLA ARCTIC RESEARCH CENT,67.3667,26.6289,179.0,1920 to 2025
FIM00002935,JYVASKYLA AIRPORT,62.3975,25.6708,139.0,1957 to 2016
FIM00002963,JOKIOINEN OBSERVATORY,60.8139,23.4975,104.0,1957 to 2025
FIM00002974,HELSINKI/SEUTALA,60.3167,24.9667,58.0,1949 to 1956
FIXUAC00035,HELSINKI,60.2,24.92,47.0,1919 to 1942
FIXUAE05506,KAJAANI,64.22,27.73,140.0,1920 to 1921
FIXUAE05507,KAUHAVA,63.12,23.08,38.0,1934 to 1935
FIXUAE05513,LIEKSA,63.32,30.5,115.0,1934 to 1935
FIXUAE05520,SUUR-MERIJOKI,60.57,28.63,25.0,1934 to 1935
FIXUAE05525,UTO,59.78,21.37,16.0,1934 to 1935
FIXUAE05526,UTTI,60.88,26.97,128.0,1934 to 1935
FOM00006011,TORSHAVN,62.0231,-6.7647,54.0,1949 to 2025
FRM00007005,ABBEVILLE,50.133,1.833,77.0,1974 to 1976
FRM00007070,REIMS,49.3,4.033,91.0,1974 to 1976
FRM00007110,BREST-GUIPAVAS,48.4442,-4.4119,99.0,1940 to 2025
FRM00007130,RENNES,48.067,-1.733,37.0,1920 to 1996
FRM00007145,TRAPPES,48.7744,2.0097,167.0,1949 to 2025
FRM00007180,NANCY/ESSEY,48.6833,6.2167,225.0,1954 to 2010
FRM00007190,STRASBOURG,48.55,7.6333,154.0,1920 to 1952
FRM00007222,NANTES,47.15,-1.6,27.0,1973 to 1976
FRM00007255,BOURGES,47.067,2.367,161.0,1973 to 2001
FRM00007265,AUXERRE,47.8,3.55,212.0,1974 to 1976
FRM00007280,DIJON,47.267,5.083,222.0,1974 to 1990
FRM00007354,CHATEAUROUX,46.85,1.7167,164.3,1957 to 1964
FRM00007412,COGNAC,45.667,-0.317,30.0,1974 to 1994
FRM00007434,LIMOGES,45.867,1.183,402.0,1974 to 1976
FRM00007480,LYON-BRON,45.717,4.95,200.0,1948 to 1975
FRM00007481,LYON-ST EXUPERY,45.7264,5.0778,250.0,1975 to 2011
FRM00007510,BORDEAUX MERIGNAC,44.8306,-0.6914,51.0,1920 to 2025
FRM00007577,MONTELIMAR,44.583,4.733,74.0,1973 to 1976
FRM00007602,BIARRITZ,43.467,-1.533,71.0,1973 to 1976
FRM00007603,DAX,43.683,-1.067,33.0,1973 to 1977
FRM00007607,MONT-DE-MARSAN,43.917,-0.5,60.0,1974 to 1976
FRM00007627,SAINT GIRONS,43.0,1.1,412.0,1974 to 1976
FRM00007630,TOULOUSE BLAGNAC,43.633,1.367,154.0,1973 to 1984
FRM00007645,NIMES-COURBESSAC,43.8569,4.4064,60.0,1949 to 2025
FRM00007680,SAINT-RAPHAEL,43.417,6.75,6.0,1982 to 1982
FRM00007690,NICE,43.65,7.2,4.0,1973 to 1999
FRM00007761,AJACCIO,41.9181,8.7928,6.0,1951 to 2025
FRXUAC03602,CHAUMONT,48.07,5.03,310.0,1953 to 1959
FRXUAE05723,PARIS,48.85,2.33,60.0,1920 to 1920
GIM00008495,GIBRALTAR,36.15,-5.35,3.0,1951 to 2015
GMM00010034,EGGEBECK,54.6333,9.35,20.0,1949 to 1954
GMM00010035,SCHLESWIG,54.5333,9.55,47.0,1954 to 2025
GMM00010046,USAF-DS3-075,54.383,10.15,31.0,1969 to 1994
GMM00010113,NORDERNEY,53.7139,7.1525,11.0,2011 to 2025
GMM00010122,JEVER,53.5333,7.8833,7.0,1949 to 1952
GMM00010184,GREIFSWALD,54.0978,13.4075,2.0,1950 to 2025
GMM00010200,EMDEN-FLUGPLATZ,53.3894,7.2269,0.0,1952 to 2011
GMM00010238,BERGEN,52.8153,9.9247,70.0,1969 to 2025
GMM00010272,USAF-DS3-082,53.2,12.517,74.0,1995 to 1998
GMM00010304,MEPPEN,52.7156,7.3175,19.0,1972 to 2025
GMM00010307,USAF-DS3-084,52.267,7.433,78.0,1971 to 1985
GMM00010338,USAF-DS3-085,52.467,9.7,55.0,1949 to 1997
GMM00010384,USAF-DS3-086,52.483,13.417,46.0,1941 to 1993
GMM00010393,LINDENBERG,52.2167,14.1167,112.0,1905 to 2025
GMM00010404,KALKAR,51.733,6.267,43.0,1971 to 1978
GMM00010410,ESSEN-BREDENEY,51.4056,6.9686,153.0,1965 to 2025
GMM00010419,LUDENSCHEID,51.2333,7.6,458.0,1949 to 1952
GMM00010437,USAF-DS3-091,51.13,9.28,223.0,1977 to 2007
GMM00010454,WERNIGERODE,51.85,10.7667,234.0,1950 to 1964
GMM00010468,OPPIN,51.55,12.0667,106.0,2000 to 2006
GMM00010486,USAF-DS3-096,51.11,13.67,249.0,1950 to 2000
GMM00010513,KOLN/BONN,50.8667,7.1333,91.0,1962 to 1965
GMM00010533,USAF-DS3-099,50.6,8.733,152.0,1982 to 1989
GMM00010548,MEININGEN,50.5617,10.3772,450.0,1969 to 2025
GMM00010610,BITBURG,49.95,6.57,367.0,1954 to 1959
GMM00010618,IDAR-OBERSTEIN,49.6928,7.3264,376.0,1971 to 2025
GMM00010619,BAUMHOLDER (USA-AF),49.65,7.3,426.0,1974 to 1989
GMM00010633,WIESBADEN,50.05,8.33,139.0,1946 to 1957
GMM00010639,LANGEN,50.017,8.667,135.0,1973 to 1975
GMM00010640,USAF-DS3-105,50.11,8.73,112.0,1995 to 1996
GMM00010642,USAF-DS3-106,50.167,8.95,112.0,1969 to 1989
GMM00010643,USAF-DS3-107,49.95,8.967,131.0,1982 to 1988
GMM00010657,USAF-DS3-109,49.767,9.483,338.0,1972 to 1989
GMM00010659,USAF-DS3-110,49.75,10.2,212.0,1971 to 1985
GMM00010687,GRAFENWOEHR,49.7,11.95,414.0,1970 to 1992
GMM00010729,USAF-DS3-113,49.517,8.55,100.0,1995 to 1996
GMM00010739,STUTTGART/SCHNARRENBERG,48.8333,9.2,314.0,1957 to 2025
GMM00010763,USAF-DS3-116,49.5,11.083,319.0,1975 to 1977
GMM00010764,FEUCHT(USA-AF),49.383,11.167,386.0,1979 to 1990
GMM00010771,KUEMMERSBRUCK,49.4283,11.9022,417.0,1969 to 2025
GMM00010828,USAF-DS3-120,48.1,9.25,646.0,1995 to 2007
GMM00010862,USAF-DS3-124,48.75,11.8,404.0,1974 to 1984
GMM00010866,MUNICH/RIEM,48.354,11.786,453.0,1946 to 1976
GMM00010868,MUENCHEN-OBERSCHLEISSHEIM,48.2442,11.5525,484.0,1976 to 2025
GMM00010921,USAF-DS3-126,47.983,8.9,807.0,1971 to 1994
GMM00010934,FRIEDRICHSHAFEN,47.65,9.4833,407.0,1909 to 1954
GMM00010954,ALTENSTADT,47.8342,10.8667,756.0,1977 to 2025
GMM00010962,HOHENPEISSENBERG,47.8019,11.0119,977.0,1982 to 2025
GMXUAC00001,FREIBURG,48.02,7.83,268.0,1940 to 1942
GMXUAC00002,TRIER,49.75,6.98,273.0,1939 to 1940
GMXUAC00006,ERFURT,51.02,11.03,320.0,1939 to 1942
GMXUAE05645,BORKUM,53.58,6.68,0.0,1919 to 1920
GMXUAE05685,HAMBURG,53.62,9.98,17.0,1910 to 1920
GMXUAE05751,TARP,54.67,9.4,24.0,1919 to 1920
GRM00016622,THESSALONIKI (AIRPORT),40.5272,22.9714,6.7,1955 to 2025
GRM00016716,ATHINAI HELLINIKON,37.8897,23.7417,43.1,1949 to 2025
GRM00016754,HERAKLEION (AIRPORT),35.3353,25.1819,35.0,1964 to 2025
HRM00013150,USAF-DS3-142,45.167,18.0,88.0,1973 to 1975
HRM00013209,USAF-DS3-143,44.9,13.917,67.0,1982 to 1982
HRM00013334,USAF-DS3-146,43.517,16.433,128.0,1956 to 1989
HRM00014240,ZAGREB/MAKSIMIR,45.8219,16.0336,123.0,1955 to 2025
HRM00014430,ZADAR RS,44.0969,15.3403,78.0,1982 to 2025
HUM00012812,SZOMBATHELY,47.267,16.633,221.0,1982 to 1982
HUM00012843,BUDAPEST/PESTSZENTLORINC,47.4333,19.1833,138.0,1949 to 2025
HUM00012942,PECS/POGANY,46.0,18.233,203.0,1973 to 1982
